Submitted_Headline_1,Prefill_Suggested_Headline_1,Suggested_Headline_1_Option1,Suggested_Headline_1_Option2,Suggested_Headline_1_Option3,Submitted_Headline_2,Prefill_Suggested_Headline_2,Suggested_Headline_2_Option1,Suggested_Headline_2_Option2,Suggested_Headline_2_Option3,Submitted_Description,Prefill_Suggested_Description,Suggested_Description_Option1,Suggested_Description_Option2,Suggested_Description_Option3,Submitted_Path_1,Prefill_Suggested_Path_1,Suggested_Path_1_Option1,Suggested_Path_1_Option2,Suggested_Path_1_Option3,Submitted_Path_2,Prefill_Suggested_Path_2,Suggested_Path_2_Option1,Suggested_Path_2_Option2,Suggested_Path_2_Option3,Submitted_Status,Submitted_Time,Submitted_Writer
""High-Quality UK Planning Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Ordnance Survey® Mapping"",""Free Planning Guide:"",NULL,NULL,NULL,""Always Updated and Ready in All Popular Scales. Visit Us to Learn More!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Planning_Maps"",""Menu"",NULL,NULL,NULL,""UK"",""Legal"",NULL,NULL,NULL,Completed,"2017-10-28 10:21:44",mayoralgomj26
""Choose Motoraid Mini Servicing"",""Driven by Respect"",NULL,NULL,NULL,""Get Mini Servicing At Hainault"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Get Your Mini Cooper Inspected for Repairs and Replacements. Get Quotes Online!"",""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",NULL,NULL,NULL,""Servicing"",""mini-clutch"",NULL,NULL,NULL,""Mini-Cooper"",""cooper"",NULL,NULL,NULL,Rejected,"2017-10-28 10:18:36",saryan.sha
""Basildon Body Repair Centres"",""Driven by Respect"",NULL,NULL,NULL,""Fix & Repair Your Car Seats"",""SEAT Servicing at MotorAid"",NULL,NULL,NULL,""Get Vehicle Body Repairs Done on Any Type of Car. Ask for Car Seat Services Now!"",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Our-Services/"",""volkswagen"",NULL,NULL,NULL,"""",""SEAT"",NULL,NULL,NULL,Completed,"2017-10-28 10:15:23",saryan.sha
""UK Planning Maps in 3 Minutes"",""Free Planning Guide:"",NULL,NULL,NULL,""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Quality and Updated Mapping from Just £9. Create and Download a Plan Now!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Planning_Maps"",""Menu"",NULL,NULL,NULL,""UK"",""plans"",NULL,NULL,NULL,Completed,"2017-10-28 10:15:11",mayoralgomj26
""OS Planning Applications Map"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Ready in Just 2 Minutes"",""Free Planning Guide:"",NULL,NULL,NULL,""Large Scale Mapping Starting from 1:1200. Visit Us for Free Planning Guide!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Plans"",""Legal"",NULL,NULL,NULL,""Maps"","""",NULL,NULL,NULL,Completed,"2017-10-28 10:10:31",mayoralgomj26
""Service Your BMW Vehicle Today"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Find MOT Centres in Hainault"",""Mot Test Centre - Motoraid"",NULL,NULL,NULL,""Have Your BMW Car Inspected at an MOT Test Garage. Book Your MOT Test Online!"",""Mot Test Centre - Motoraid: Basildon, Hainault - Commercial Car"",NULL,NULL,NULL,""Servicing"",""bmw-mot"",NULL,NULL,NULL,""Mot-Test-Centre"",""bmw"",NULL,NULL,NULL,Rejected,"2017-10-28 10:09:57",saryan.sha
""Save Money On Your Smart Car"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Find Smart Garages in Basildon"",""Smart Car - Motoraid"",NULL,NULL,NULL,""Care for Your Car with Easy Monthly Payments. Activate Your Car Care Plan Today!"",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Our-Services"",""servicing"",NULL,NULL,NULL,""Care-Plan/"",""smart"",NULL,NULL,NULL,Rejected,"2017-10-28 10:05:40",saryan.sha
""SMART Car Service by Motoraid"",""Smart Car - Motoraid"",NULL,NULL,NULL,""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Specialising in SMART Models. Offering Services Like Online Coding and More."",""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",NULL,NULL,NULL,""Services"",""smart-b"",NULL,NULL,NULL,""SMART-Car"",""SMART"",NULL,NULL,NULL,Rejected,"2017-10-28 09:58:21",frlance.07
""A Family Christmas Show"",""Jasmin Vardimon Company"",NULL,NULL,NULL,""The Snowman in London"",""The Peacock"",NULL,NULL,NULL,""A Kids Show This Christmas with Your Family in London. Book Tickets Now!"",""The Snowman — Birmingham Repertory Theatre"",NULL,NULL,NULL,""Whats-On/2017"",""christmas"",NULL,NULL,NULL,""The-Snowman/"",""kids-shows"",NULL,NULL,NULL,Completed,"2017-10-28 09:53:34",saryan.sha
""20% On Dance Show Tickets"",""Jasmin Vardimon Company"",NULL,NULL,NULL,""The Snowman at The Peacock"",""The Peacock"",NULL,NULL,NULL,""If You Become a Member, Save on Tickets Now. Book Today and Save!"",""The Snowman - The Peacock - Sadler's Wells"",NULL,NULL,NULL,""Support-Us"",""christmas"",NULL,NULL,NULL,""Members/"",""childrens"",NULL,NULL,NULL,Completed,"2017-10-28 09:49:36",saryan.sha
""The Snowman In Birmingham"",""Jasmin Vardimon Company"",NULL,NULL,NULL,""Peacock Theatre"",""The Peacock"",NULL,NULL,NULL,""We Have a Dance Show with Your Family This Christmas. Book Your Tickets Today!"",""The Snowman - The Peacock - Sadler's Wells"",NULL,NULL,NULL,""Whats-On/2017/"",""christmas"",NULL,NULL,NULL,""The-Snowman/"",""childrens"",NULL,NULL,NULL,Completed,"2017-10-28 09:46:40",saryan.sha
""The Snowman On Stage Today"",""Jasmin Vardimon Company"",NULL,NULL,NULL,""A Happy Family Christmas Show"",""The Peacock"",NULL,NULL,NULL,""The Snowman Celebrates 20 Years on Stage. Have a Family Christmas Treat Today!"",""The Snowman — Birmingham Repertory Theatre"",NULL,NULL,NULL,""Whats-On/2017"",""christmas"",NULL,NULL,NULL,""The-Snowman/"",""childrens"",NULL,NULL,NULL,Completed,"2017-10-28 09:44:13",saryan.sha
""The Snowman Perform Live"",""Jasmin Vardimon Company"",NULL,NULL,NULL,""The Best Family Christmas Show"",""The Peacock"",NULL,NULL,NULL,""The Snowman Is a Wonderful Play to Watch. Fun for the Whole Family. Book Now!"",""The Snowman — Birmingham Repertory Theatre"",NULL,NULL,NULL,""Whats-On/2017"",""christmas"",NULL,NULL,NULL,""The-Snowman/"",""childrens"",NULL,NULL,NULL,Completed,"2017-10-28 09:41:08",saryan.sha
""En471 High Visibility"",""En471 High Visibility"",NULL,NULL,NULL,""High Visibility Jackets"",""High Visibility Jackets"",NULL,NULL,NULL,""Hivis.Net Is the Uk's Online Home of High Visibility Clothing. Buy Online Now"",""Hivis.Net Is The Uk's Online Home Of High Visibility Clothing"",NULL,NULL,NULL,""En471"",""en471"",NULL,NULL,NULL,""En-471"",""en-471"",NULL,NULL,NULL,Rejected,"2017-10-28 08:37:55",adeolakun371
""High Visibility Trousers"",""High Visibility Trousers"",NULL,NULL,NULL,""High Visibility Jackets"",""High Visibility Jackets"",NULL,NULL,NULL,""Workwear Fleeces - Workwear Jackets Andhivis.Net. Get at Low Prices"",""Workwear Fleeces - Workwear Jackets | Hivis.Net"",NULL,NULL,NULL,""Work-Fleeces"",""work-fleeces"",NULL,NULL,NULL,""Work Fleeces"",""Work Fleeces"",NULL,NULL,NULL,Rejected,"2017-10-28 08:37:09",adeolakun371
""High Visibility Trousers"",""High Visibility Trousers"",NULL,NULL,NULL,""High-Visibility-Clothing"",""high-visibility-clothing"",NULL,NULL,NULL,""Hivis.Net Is the Uk's Online Home Of High Visibility Clothing. Get in Low Cost"",""Hivis.Net Is The Uk's Online Home Of High Visibility Clothing"",NULL,NULL,NULL,""High-Viz"",""high-viz"",NULL,NULL,NULL,""Highviz"",""highviz"",NULL,NULL,NULL,Rejected,"2017-10-28 08:36:10",adeolakun371
""High Visibility Trousers"",""High Visibility Trousers"",NULL,NULL,NULL,""High-Visibility-Clothing"",""high-visibility-clothing"",NULL,NULL,NULL,""Hivis.Net Is the Uk's Online Home of High Visibility Clothing."",""Hivis.Net Is The Uk's Online Home Of High Visibility Clothing"",NULL,NULL,NULL,""High-Viz"",""high-viz"",NULL,NULL,NULL,""Highviz"",""highviz"",NULL,NULL,NULL,Rejected,"2017-10-28 08:35:25",adeolakun371
""Reconditioned Gearboxes"",""Reconditioned Gearboxes"",NULL,NULL,NULL,""Reconditioned Gearbox"",""Reconditioned Gearbox"",NULL,NULL,NULL,""Ford Gearboxes - Reconditioned Ford Gearboxes. Delivered and Fitted Nationwide"",""Ford Gearboxes - Reconditioned Ford Gearboxes"",NULL,NULL,NULL,""Cortina"",""cortina"",NULL,NULL,NULL,""Automatic-Ford"",""automatic-ford"",NULL,NULL,NULL,Rejected,"2017-10-28 08:27:37",adeolakun371
""Smart Car - Motoraid"",""Smart Car - Motoraid"",NULL,NULL,NULL,""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",NULL,NULL,NULL,""Smart-B"",""smart-b"",NULL,NULL,NULL,""SMART"",""SMART"",NULL,NULL,NULL,Rejected,"2017-10-28 08:25:44",adeolakun371
""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Mot Test Centre - Motoraid"",""Mot Test Centre - Motoraid"",NULL,NULL,NULL,""Mot Test Centre - Motoraid: Basildon, Hainault and Commercial Car"",""Mot Test Centre - Motoraid: Basildon, Hainault - Commercial Car"",NULL,NULL,NULL,""Commercial"",""commercial"",NULL,NULL,NULL,""Audi"",""audi"",NULL,NULL,NULL,Rejected,"2017-10-28 08:25:18",adeolakun371
""Volkswagen - Motoraid"",""Volkswagen - Motoraid"",NULL,NULL,NULL,""Driven by Respect"",""Driven by Respect"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex. Call"",""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",NULL,NULL,NULL,""Mot-Testing"",""mot-testing"",NULL,NULL,NULL,""Servicing"",""servicing"",NULL,NULL,NULL,Rejected,"2017-10-28 08:23:55",adeolakun371
""Mini Cooper - Motoraid"",""Mini Cooper - Motoraid"",NULL,NULL,NULL,""Mini Cooper Clutch Repairs"",""Mini Cooper Clutch Repairs"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Servicing"",""servicing"",NULL,NULL,NULL,""Mot-Testing"",""mot-testing"",NULL,NULL,NULL,Rejected,"2017-10-28 08:23:03",adeolakun371
""Mini Cooper Clutch Repairs"",""Mini Cooper Clutch Repairs"",NULL,NULL,NULL,""Mini Cooper - Motoraid"",""Mini Cooper - Motoraid"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Servicing"",""servicing"",NULL,NULL,NULL,""Repairs"",""repairs"",NULL,NULL,NULL,Rejected,"2017-10-28 08:22:35",adeolakun371
""Driven by Respect"",""Driven by Respect"",NULL,NULL,NULL,""Mercedes - Motoraid"",""Mercedes - Motoraid"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Abs-Light"",""abs-light"",NULL,NULL,NULL,""Mercedes"",""mercedes"",NULL,NULL,NULL,Rejected,"2017-10-28 08:21:47",adeolakun371
""Lease Car Servicing"",""Lease Car Servicing"",NULL,NULL,NULL,""VAT Registered Garage"",""VAT Registered Garage"",NULL,NULL,NULL,""Premier Independent Service Centre Est 1996. In Basildon, Essex. Call Now"",""Premier Independent Service Centre Est 1996. In Basildon, Essex."",NULL,NULL,NULL,""Volkswagen"",""volkswagen"",NULL,NULL,NULL,""Leasevehicle"",""leasevehicle"",NULL,NULL,NULL,Rejected,"2017-10-28 08:20:54",adeolakun371
""Driven by Respect"",""Driven by Respect"",NULL,NULL,NULL,""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex. Call"",""Premier Independent German Car Specialist Est.1996. Based in Ilford, Essex."",NULL,NULL,NULL,""Mini-Clutch"",""mini-clutch"",NULL,NULL,NULL,""Cooper"",""cooper"",NULL,NULL,NULL,Rejected,"2017-10-28 08:19:53",adeolakun371
""Driven by Respect"",""Driven by Respect"",NULL,NULL,NULL,""SEAT Servicing at Motoraid"",""SEAT Servicing at MotorAid"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Volkswagen"",""volkswagen"",NULL,NULL,NULL,""SEAT"",""SEAT"",NULL,NULL,NULL,Rejected,"2017-10-28 08:18:58",adeolakun371
""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Mot Test Centre - Motoraid"",""Mot Test Centre - Motoraid"",NULL,NULL,NULL,""Mot Test Centre - Motoraid: Basildon, Hainault - Commercial Car. Click to Call"",""Mot Test Centre - Motoraid: Basildon, Hainault - Commercial Car"",NULL,NULL,NULL,""Bmw-Mot"",""bmw-mot"",NULL,NULL,NULL,""Bmw"",""bmw"",NULL,NULL,NULL,Rejected,"2017-10-28 08:17:58",adeolakun371
""The Main Dealer Alternative"",""The Main Dealer Alternative"",NULL,NULL,NULL,""Smart Car - Motoraid"",""Smart Car - Motoraid"",NULL,NULL,NULL,""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",""Premier Independent German Car Specialist Est.1996. Based in Basildon, Essex."",NULL,NULL,NULL,""Servicing"",""servicing"",NULL,NULL,NULL,""Smart"",""smart"",NULL,NULL,NULL,Rejected,"2017-10-28 08:16:01",adeolakun371
""Ordnance Survey® Maps Here"",""Begin Your Search"",NULL,NULL,NULL,""Professional Mapping Tools"",""Enter A Search"",NULL,NULL,NULL,""Mapping Geographical Info for Professionals. View and Print in Any Format!"",""Easy Access To Professional Maps Starts Here"",NULL,NULL,NULL,""Maps"","""",NULL,NULL,NULL,""Ordnance_Survey"",""buy"",NULL,NULL,NULL,Completed,"2017-10-28 08:14:20",mayoralgomj26
""CAD Plans for Professionals"",""Begin Your Search"",NULL,NULL,NULL,""Easy Mapping Management"",""Os Vectormap"",NULL,NULL,NULL,""We Simplify the Delivery of High-Quality Mapping. Search and View Now!"",""Cad Plans & Maps From £13.30 For Property Professionals | Mapserve"",NULL,NULL,NULL,""Mapping"",""cad-plans"",NULL,NULL,NULL,""CAD_Plans"","""",NULL,NULL,NULL,Completed,"2017-10-28 08:04:34",mayoralgomj26
""Site Location Map"",""Site Location Map"",NULL,NULL,NULL,""Council Approved"",""Council Approved:"",NULL,NULL,NULL,""Site Plans for Planning Applications - £9 at Buyaplan Offiacial Site"",""Site Plans For Planning Applications - £9 | Buyaplan"",NULL,NULL,NULL,""Menu"",""Menu"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:56:16",adeolakun371
""Council Approved"",""Council Approved:"",NULL,NULL,NULL,""Our Site Plans."",""Our Site Plans.."",NULL,NULL,NULL,""Site Plans for Planning Applications - £9 at Buyaplan, Ideal Planning for App"",""Site Plans For Planning Applications - £9 | Buyaplan"",NULL,NULL,NULL,""Site-Plans"",""site-plans"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:55:04",adeolakun371
""Ordnance Survey Mapping"",""Ordnance Survey Mapping:"",NULL,NULL,NULL,""97% Customer Satisfaction:"",""97% Customer Satisfaction:"",NULL,NULL,NULL,""Ordnance Survey Plans and Maps from £9 OS Planning Maps. A Very Cheap OS Maps!"",""Ordnance Survey Plans And Maps From £9 | Os Planning Maps"",NULL,NULL,NULL,""Free-Os-Maps"",""free-os-maps"",NULL,NULL,NULL,""Os-Plans"",""os-plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:53:12",adeolakun371
""100% Guaranteed"",""Free Planning Guide:"",NULL,NULL,NULL,""Planning Maps in Minutes"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""High Quality & Updated Mapping. Buy 2 Scales and Save an Extra 10%!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Os-Maps"",""os-maps"",NULL,NULL,NULL,""Maps"",""maps"",NULL,NULL,NULL,Completed,"2017-10-28 03:51:15",iuriferrao
""Detailed Os Plans"",""Detailed Os Plans"",NULL,NULL,NULL,""Ordnance Survey Mapping"",""Ordnance Survey Mapping:"",NULL,NULL,NULL,""Order And Download Os Plans in 3 Minutes. A Very Cheap Os Maps at Buyplan Site"",""Order And Download Os Plans In 3 Minutes:"",NULL,NULL,NULL,""Free-Os-Maps"",""free-os-maps"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,Rejected,"2017-10-28 03:51:03",adeolakun371
""Detailed Os Plans"",""Detailed Os Plans"",NULL,NULL,NULL,""97% Customer Satisfaction"",""97% Customer Satisfaction:"",NULL,NULL,NULL,""Order and Download Os Plans in 3 Minutes. Get Very Cheap Os Maps at Buyplan Now"",""Order And Download Os Plans In 3 Minutes:"",NULL,NULL,NULL,""Free-Os-Maps"",""free-os-maps"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,Rejected,"2017-10-28 03:49:28",adeolakun371
""Tango Show SW Extra"",""Sadler's Wells"",NULL,NULL,NULL,""Sadler's Wells Tango"",""Sw Extra"",NULL,NULL,NULL,""Escape to Buenos Aires. Watch Our Summer Tango Show. Get Your Tickets Today."",""Opens 19 July. Direct from Buenos Aires, in London for 3 weeks only"",NULL,NULL,NULL,""Tango"",""tango"",NULL,NULL,NULL,""Tanguera"",""Tanguera"",NULL,NULL,NULL,Completed,"2017-10-28 03:48:59",sigrid.salucop
""Free Planning Guide"",""Free Planning Guide:"",NULL,NULL,NULL,""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Planning Maps in 3 Mins from £9 - Free Preview at Buyaplan Official Site"",""Planning Maps In 3 Mins From £9 - Free Preview | Buyaplan"",NULL,NULL,NULL,""Maps"",""maps"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Rejected,"2017-10-28 03:47:05",adeolakun371
""Contemporary Circus"",""Cool contemporary circus"",NULL,NULL,NULL,""Cirque Éloize Presents ID"",""The Peacock"",NULL,NULL,NULL,""A Show Full of Daring Stunts, Dazzling Acrobatics and Fun. Buy Tickets Now!"",""Peacock Theatre, Portugal Street, Holborn, Wc2a 2Ht"",NULL,NULL,NULL,""Circusfest"",""circusfest"",NULL,NULL,NULL,""Cirque_Élioze"",""circus"",NULL,NULL,NULL,Completed,"2017-10-28 03:46:10",iuriferrao
""Free Planning Guide"",""Free Planning Guide:"",NULL,NULL,NULL,""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""High Quality, Constantly Updated Mapping. Save 10%. Visit Our Online Page Today."",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Maps"",""maps"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:46:08",msatler6
""Planning Office Approved"",""Planning Office Approved:"",NULL,NULL,NULL,""Our Location Plans."",""Our Location Plans."",NULL,NULL,NULL,""Location Plans,  Buy from £9, Buy 2 Scales and Save 10% at Buyaplan Site Now"",""Location Plans – Buy From £9 – Buy 2 Scales Save 10% | Buyaplan"",NULL,NULL,NULL,""Location-Plans"",""location-plans"",NULL,NULL,NULL,""Os-Plans"",""os-plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:45:21",adeolakun371
""Approved Planning Office"",""Planning Office Approved:"",NULL,NULL,NULL,""Location Plans at Buyaplan"",""Location Plan 1:1250"",NULL,NULL,NULL,""Buy Plans from Just £9. Save 10% with Purchase. Visit Buyaplan.Co.Uk Today."",""Location Plans – Buy From £9 – Buy 2 Scales Save 10% | Buyaplan"",NULL,NULL,NULL,""Location-Plans"",""location-plans"",NULL,NULL,NULL,""OS-Plans"",""os-plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:45:11",msatler6
""Planning Office Approved"",""Planning Office Approved:"",NULL,NULL,NULL,""Our Location Plans"",""Our Location Plans."",NULL,NULL,NULL,""Location Plans – Buy from £9 – Buy 2 Scales and Save 10% at Buyaplan.Co.Uk"",""Location Plans – Buy From £9 – Buy 2 Scales Save 10% | Buyaplan"",NULL,NULL,NULL,""Menu"",""Menu"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Rejected,"2017-10-28 03:43:39",adeolakun371
""97% Customer Satisfaction"",""97% Customer Satisfaction:"",NULL,NULL,NULL,""Ordnance Survey Mapping"",""Ordnance Survey Mapping:"",NULL,NULL,NULL,""Ordnance Survey Plans and Maps from £9 Os Planning Maps. OS Planing Maps for 9"",""Ordnance Survey Plans And Maps From £9 | Os Planning Maps"",NULL,NULL,NULL,""Os-Plans"",""os-plans"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,Rejected,"2017-10-28 03:42:09",adeolakun371
""Free Ordnance Survey Maps"",""97% Customer Satisfaction:"",NULL,NULL,NULL,""Instructive OS Plans"",""Detailed Os Plans"",NULL,NULL,NULL,""Order and Download OS Plans in Just 3 Minutes. Visit Our Online Page Today!"",""Order And Download Os Plans In 3 Minutes:"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Completed,"2017-10-28 03:41:13",msatler6
""Detailed Os Plans"",""Detailed Os Plans"",NULL,NULL,NULL,""Ordnance Survey Mapping"",""Ordnance Survey Mapping:"",NULL,NULL,NULL,""Ordnance Survey Plans and Maps from £9 Os Planning Maps.  Free Os Planning Maps"",""Ordnance Survey Plans And Maps From £9 | Os Planning Maps"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,""Os-Plans"",""os-plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:40:15",adeolakun371
""Council Approved"",""Council Approved:"",NULL,NULL,NULL,""Site Location Plans"",""Site Location Plans"",NULL,NULL,NULL,""Site Plans For Planning Applications - £9 at Buyaplan. Download in 1:1250 Scale"",""Site Plans For Planning Applications - £9 | Buyaplan"",NULL,NULL,NULL,""Site-Location"",""site-location"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,Rejected,"2017-10-28 03:37:14",adeolakun371
""Buyaplan Site Location Plans"",""Council Approved:"",NULL,NULL,NULL,""1:1200 Scale or More"",""Our Site Plans.."",NULL,NULL,NULL,""We Use Ordnance Survey© for Our Plans. Download the 1:1250 Scale Only in 3 Min!"",""Site Plans For Planning Applications - £9 | Buyaplan"",NULL,NULL,NULL,""Plans"",""site-location"",NULL,NULL,NULL,""Location_Plans"",""site-maps"",NULL,NULL,NULL,Completed,"2017-10-28 03:36:05",mayoralgomj26
""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Planning Application Maps"",""Planning Application Maps"",NULL,NULL,NULL,""High Quality and Constantly Updated Mapping. Preview and Download in 3 Min!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Maps"",""maps"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,Completed,"2017-10-28 03:35:03",adeolakun371
""Our Site Plans."",""Our Site Plans.."",NULL,NULL,NULL,""Site Location Plans"",""Site Location Plans"",NULL,NULL,NULL,""Site Plans for Planning Applications - £9 at Buyaplan. Download in 1:1250 Scale"",""Site Plans For Planning Applications - £9 | Buyaplan"",NULL,NULL,NULL,""Menu"",""Menu"",NULL,NULL,NULL,""Os-Maps"",""os-maps"",NULL,NULL,NULL,Rejected,"2017-10-28 03:32:44",adeolakun371
""Buyaplan™ Official Website"",""Buy-A-Plan Planning Maps"",NULL,NULL,NULL,""Planning Maps in 3 Minutes"",""Free Planning Guide:"",NULL,NULL,NULL,""Compliant Plans to Meet All Your Requirements. Visit Us and Learn More!"",""Planning Maps In 3 Mins From £9 - Free Preview | Buyaplan"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,""Planning_Maps"",""buyaplan-co-uk"",NULL,NULL,NULL,Completed,"2017-10-28 03:28:00",mayoralgomj26
""1:1250 Scale Maps"",""1:1250 Scale Maps"",NULL,NULL,NULL,""Ordnance Survey Mapping"",""Ordnance Survey Mapping:"",NULL,NULL,NULL,""Our 1:1250 Maps Meet Planning Office Requirements. Download 1:1250 OS Maps Now"",""Our 1:1250 Maps Meet Planning Office Requirements:"",NULL,NULL,NULL,""Mapping"",""mapping"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Rejected,"2017-10-28 03:25:36",adeolakun371
""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Free Planning Guide"",""Free Planning Guide:"",NULL,NULL,NULL,""High Quality, Constantly Updated Mapping at Uk's No. 1 Site for Planning Maps."",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Menu"",""Menu"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Rejected,"2017-10-28 03:24:07",adeolakun371
""Buy-A-Plan Planning Maps"",""Buy-A-Plan Planning Maps"",NULL,NULL,NULL,""Free Planning Guide"",""Free Planning Guide:"",NULL,NULL,NULL,""Planning Maps in 3 Mins from £9 - Free Preview at Buyaplan.Co.Uk"",""Planning Maps In 3 Mins From £9 - Free Preview | Buyaplan"",NULL,NULL,NULL,""Maps"",""maps"",NULL,NULL,NULL,""Buyaplan-Co-Uk"",""buyaplan-co-uk"",NULL,NULL,NULL,Rejected,"2017-10-28 03:22:03",adeolakun371
""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Planning Application Maps"",""Planning Application Maps"",NULL,NULL,NULL,""Planning Maps in 3 Mins from £9 - Free Preview at Buyaplan Official Site"",""Planning Maps In 3 Mins From £9 - Free Preview | Buyaplan"",NULL,NULL,NULL,""Plans"",""plans"",NULL,NULL,NULL,""Contact"",""Contact"",NULL,NULL,NULL,Rejected,"2017-10-28 03:20:49",adeolakun371
""Planning OS Maps from Just £9"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""A Fast and Easy Way to Plan"",""Free Planning Guide:"",NULL,NULL,NULL,""Planning Maps That Meet Your Requirements. Preview and Download Now!"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Plans"",""site-plan"",NULL,NULL,NULL,""Planning_OS_Map"",""maps"",NULL,NULL,NULL,Completed,"2017-10-28 03:20:43",mayoralgomj26
""Guaranteed Compliant Maps"",""Guaranteed Compliant Maps:"",NULL,NULL,NULL,""Planning Application Maps"",""Planning Application Maps"",NULL,NULL,NULL,""High Quality and Constantly Updated Mapping. Ideal for Planning Applications"",""High Quality, Constantly Updated Mapping:"",NULL,NULL,NULL,""Menu"",""Menu"",NULL,NULL,NULL,""Legal"",""Legal"",NULL,NULL,NULL,Rejected,"2017-10-28 03:19:34",adeolakun371
